faculty_id,name,designation,department_id,email,phone,joining_date
293,Olivia Waters,Assistant Professor,6,david85@hotmail.com,(037)257-9906,2023-05-15
294,Patricia Ramos,Assistant Professor,3,robinharrison@gmail.com,(786)149-5877x9392,2023-01-08
295,Mitchell Garrett,Associate Professor,2,suzanneromero@gmail.com,+1-347-220-6528x14601,2021-03-10
296,Sarah Whitehead,Associate Professor,7,lbarnett@mejia.com,(453)542-3215x9582,2016-12-23
297,Isaac Johnson,Associate Professor,2,brandibrown@palmer.com,635.558.0837x140,2021-01-10
298,Teresa Davis,Assistant Professor,2,pcherry@yahoo.com,2898881819,2020-12-29
299,Charles Norris,Associate Professor,1,craig07@gmail.com,001-150-446-2407x94879,2023-03-15
300,Jo Garcia,Assistant Professor,1,benjaminbarker@hotmail.com,(831)580-9124x67350,2016-09-06
301,Kristen Hill,Assistant Professor,2,wbray@young.com,532-651-6489x696,2020-03-20
302,Jerry Evans,Associate Professor,4,lisa32@walsh-morris.com,170.623.4761x273,2017-01-01
303,Kristy Robles,Assistant Professor,5,christy98@gmail.com,637.974.3482,2022-09-09
304,Lisa Morris,Associate Professor,7,cassandra31@yahoo.com,966.485.9033x3768,2019-04-21
305,James Brown,Associate Professor,7,dustindunn@allen-mendoza.biz,497-143-3051,2022-08-09
306,Mariah Riggs,Associate Professor,1,lisa19@long.com,246.940.6421,2024-08-12
307,Carrie Montgomery,Associate Professor,4,brian26@wolfe-johnson.info,304-216-5841x1388,2020-04-19
308,Jessica Baldwin,Associate Professor,4,josephrosales@yahoo.com,014.714.2276x65948,2025-02-09
309,Lindsey Smith,Professor,6,omarks@yahoo.com,001-758-966-8685x4430,2023-08-06
310,Lawrence Murphy,Professor,5,bkaufman@yahoo.com,001-995-564-9415,2023-11-03
311,Renee Garcia,Professor,2,lnicholson@kelly.com,+1-727-826-4704x75477,2018-02-03
312,Erica Cochran,Professor,6,kbanks@yahoo.com,4478100757,2024-04-29
313,Matthew Maldonado,Professor,6,deborahlynn@moore.com,001-417-539-2072x1884,2023-04-26
314,Ashley Martinez,Associate Professor,4,fryekevin@yahoo.com,(251)448-5157x352,2025-05-20
315,Ashley Hill,Assistant Professor,4,owensnicole@delgado.info,(880)946-6948x0407,2022-06-12
316,Sonya Oliver,Assistant Professor,4,pgill@williams.biz,001-000-478-8508x2662,2016-03-11
317,William Kelley,Associate Professor,2,kellytaylor@hotmail.com,857.274.5592,2024-02-04
318,Cynthia Jones,Assistant Professor,2,ysullivan@ryan-manning.net,(272)976-4411x0688,2024-04-02
319,Stephen Cannon,Assistant Professor,6,ruiztravis@williams.com,275-212-6907x7676,2023-11-30
320,Matthew Hall,Professor,6,wheelerann@hotmail.com,+1-989-018-4465x725,2019-09-11
321,Stacey Boyle,Professor,1,sharon94@hotmail.com,001-157-185-7046,2018-01-26
322,Steve Myers,Professor,7,laurie08@johnson.biz,+1-620-165-4075,2024-06-01
323,Adam Moore,Assistant Professor,7,wallacestephen@gmail.com,551.606.0846,2017-10-13
324,Jason Johnson,Professor,7,deangeorge@yahoo.com,001-066-440-7212x696,2017-01-30
325,Taylor Irwin,Associate Professor,1,erogers@gmail.com,+1-803-461-5052x870,2016-09-10
326,Heather Osborne,Assistant Professor,7,smithemily@hotmail.com,+1-758-335-6612,2021-09-18
327,Laura Manning,Assistant Professor,4,zyoung@hotmail.com,(507)580-7055,2024-08-30
328,Mitchell Gomez,Professor,2,lauradudley@rivera-james.org,803.593.9436x1769,2022-03-25
329,Margaret Hatfield,Associate Professor,2,santanadawn@hotmail.com,785-023-9907,2022-11-23
330,Brian Young,Professor,7,stephanie65@le-gonzalez.com,001-490-564-1552x13750,2016-04-02
331,John Thompson,Professor,6,mortonoscar@gmail.com,597.558.0146x37054,2018-12-21
332,Thomas Ponce,Assistant Professor,5,michael20@yahoo.com,(106)097-1522x18178,2024-12-26
333,Brittany Jacobson,Assistant Professor,4,jimmartinez@rich-turner.com,249-297-7502,2022-04-22
334,Norman Sanchez,Professor,1,clandry@gordon.com,(730)899-8553,2025-04-12
335,Veronica Smith,Assistant Professor,5,madison08@harrell.com,001-489-605-6218x110,2016-10-30
336,Joseph Rojas,Assistant Professor,2,aliciajordan@acosta.info,461-934-5545x334,2024-11-17
337,Heather Roman,Assistant Professor,7,michael81@hotmail.com,(608)444-0347,2022-08-07
338,Rebecca Tucker,Professor,1,erice@conway.com,426.961.0492x56871,2016-09-11
339,Nicole Reilly,Assistant Professor,4,dwheeler@hotmail.com,+1-887-886-8892,2021-01-27
340,Michelle Scott,Professor,2,brettthomas@hotmail.com,+1-165-855-2934x81703,2023-11-27
341,Joanna Tran,Assistant Professor,7,huntpamela@gmail.com,795-290-9360x183,2021-09-05
342,Ernest Haynes,Associate Professor,4,kkelly@hotmail.com,001-742-628-7657x824,2020-06-15
343,Eric Washington,Assistant Professor,6,lindsey31@wilson.com,727.726.4816x53908,2018-08-20
344,Aaron Dougherty,Professor,5,terrence04@hotmail.com,(880)972-0450x0490,2019-12-25
345,Patricia Henderson,Assistant Professor,5,wilsonnancy@hotmail.com,889.866.8284,2022-09-22
346,Adam Young,Professor,5,aprilcopeland@bernard.info,680.091.7336,2017-04-24
347,Michael Trevino,Professor,3,geoffreyhale@gmail.com,676.097.4599,2021-02-26
348,Robin Williams,Assistant Professor,7,williamsjennifer@robinson.biz,+1-259-306-8972x1054,2016-11-21
349,Samantha Hunt,Professor,4,timothylee@perez-ferguson.org,(227)074-8283x05747,2025-03-04
350,Stephanie Ochoa,Assistant Professor,5,garciastephen@gillespie.com,759-574-0241,2020-11-29
